"district","id"
"THIRUVANANTHAPURAM","479"
"THRISSUR","480"
"TIKAMGARH","481"
"TINSUKIA","482"
"TIRAP","483"
"TIRUNELVELI","484"
"TIRUVALLUR","485"
"TIRUVANNAMALAI","486"
"TIRUVARUR","487"
"TONK","488"
"TRICHY","489"
"TUENSANG","490"
"TUMKUR","491"
"TUTICORIN","492"
"UDAIPUR","493"
"UDHAM SINGH NAGAR","494"
"UDHAMPUR","495"
"UDUPI","496"
"UJJAIN","497"
"UMARIA","498"
"UNA","499"
"UNNAO","500"
"UPPER SIANG","501"
"UPPER SUBANSIRI","502"
"UTTAR KANNADA","503"
"UTTARKASHI","504"
"VAISHALI","505"
"VALSAD","506"
"VARANASI","507"
"VELLORE","508"
"VIDISHA","509"
"VILLUPURAM","510"
"VIRUDUNAGAR","511"
"VISHAKHAPATNAM","512"
"VIZIANAGARAM","513"
"WARANGAL","514"
"WARDHA","515"
"WASHIM","516"
"WEST CHAMPARAN","517"
"WEST GODAVARI","518"
"WEST KAMENG","519"
"WEST SIANG","520"
"WEST SINGBHUM","521"
"WEST TRIPURA","522"
"WYNAD","523"
"YAMUNA NAGAR","524"
"YEOTMAL","525"
