"districtid","apr","aug","dec","feb","jan","jul","jun","mar","may","nov","oct","sep","year","states","stateid","district"
"259","4.5999999999999996","529.60000000000002","0","43.100000000000001","0","318.5","244.19999999999999","135.80000000000001","15.9","33.600000000000001","62.899999999999999","195.59999999999999","2008","ANDHRA PRADESH","2","KHAMMAM"
"282","3.7999999999999998","138.09999999999999","0","2.2000000000000002","21.5","203.30000000000001","111.7","0.29999999999999999","102","7.2999999999999998","143.30000000000001","153.40000000000001","2004","ANDHRA PRADESH","2","KRISHNA"
"282","5.5999999999999996","100.3","2.7999999999999998","4","1.1000000000000001","291.39999999999998","63.700000000000003","1.3999999999999999","64.299999999999997","21.600000000000001","259.69999999999999","343.60000000000002","2005","ANDHRA PRADESH","2","KRISHNA"
"282","57.200000000000003","168","0","0","0","75.900000000000006","132.09999999999999","68.5","54.600000000000001","101.8","386","223.19999999999999","2006","ANDHRA PRADESH","2","KRISHNA"
"282","8.0999999999999996","178.90000000000001","1","7.0999999999999996","0","170.30000000000001","213.59999999999999","0","10.6","14.6","155.09999999999999","220.59999999999999","2007","ANDHRA PRADESH","2","KRISHNA"
"282","1.5","417","0.29999999999999999","64.599999999999994","1","241.90000000000001","146.90000000000001","107.40000000000001","2.2999999999999998","150.09999999999999","53","117.90000000000001","2008","ANDHRA PRADESH","2","KRISHNA"
"286","52.700000000000003","41.399999999999999","0","0.29999999999999999","4.5999999999999996","127.5","45.299999999999997","6.7000000000000002","91","3.8999999999999999","97.5","172.59999999999999","2004","ANDHRA PRADESH","2","KURNOOL"
"286","27.100000000000001","106.2","1.5","4","2.2999999999999998","153.5","47.700000000000003","6.0999999999999996","41","5.9000000000000004","270.89999999999998","172","2005","ANDHRA PRADESH","2","KURNOOL"
"286","7.4000000000000004","42.200000000000003","0.40000000000000002","0","0","71.900000000000006","127.59999999999999","25.800000000000001","71.700000000000003","60","24","169.80000000000001","2006","ANDHRA PRADESH","2","KURNOOL"
"286","17.5","184","0","3","0","72.400000000000006","432.60000000000002","0","47.399999999999999","19.399999999999999","55.399999999999999","250.5","2007","ANDHRA PRADESH","2","KURNOOL"
"286","0.10000000000000001","137","1.1000000000000001","12.800000000000001","0","100.7","42.200000000000003","99.5","34.5","61.299999999999997","90.099999999999994","129.30000000000001","2008","ANDHRA PRADESH","2","KURNOOL"
"305","15.199999999999999","30","0","0","16.600000000000001","97.700000000000003","29.5","0","26.199999999999999","0.40000000000000002","108","99.200000000000003","2004","ANDHRA PRADESH","2","MAHBUBNAGAR"
"305","8.5999999999999996","160.80000000000001","0","2","1.2","277.69999999999999","53.5","9","16.600000000000001","2.2999999999999998","247.40000000000001","273.19999999999999","2005","ANDHRA PRADESH","2","MAHBUBNAGAR"
"305","76.900000000000006","43.5","0","0","0","45","131.40000000000001","41.600000000000001","39","33.700000000000003","18.399999999999999","166.80000000000001","2006","ANDHRA PRADESH","2","MAHBUBNAGAR"
"305","2.7000000000000002","163.30000000000001","0.10000000000000001","0","0","104.09999999999999","230.19999999999999","0","19","32.899999999999999","42.600000000000001","252.59999999999999","2007","ANDHRA PRADESH","2","MAHBUBNAGAR"
"305","14.9","185.69999999999999","0.40000000000000002","7","0","76.799999999999997","49.899999999999999","124.5","8.5","19","26.199999999999999","109","2008","ANDHRA PRADESH","2","MAHBUBNAGAR"
"318","43.200000000000003","101.40000000000001","0","0.20000000000000001","2","301.69999999999999","49.5","10","14.6","0","51.700000000000003","80.5","2004","ANDHRA PRADESH","2","MEDAK"
"318","15","110.5","4","12.5","75","401.69999999999999","65.400000000000006","33.299999999999997","0","0","168.30000000000001","303","2005","ANDHRA PRADESH","2","MEDAK"
"318","30.199999999999999","286.80000000000001","0","0","0","119.7","113.59999999999999","81.400000000000006","86.5","18.899999999999999","22.600000000000001","201.5","2006","ANDHRA PRADESH","2","MEDAK"
"318","6.5999999999999996","142.5","0","0","0","124.40000000000001","165.19999999999999","0","19.100000000000001","13.5","14.1","260.39999999999998","2007","ANDHRA PRADESH","2","MEDAK"
"318","25.600000000000001","356.60000000000002","2","58.700000000000003","0","130.59999999999999","61.100000000000001","143.69999999999999","21","4.2000000000000002","19.100000000000001","146.69999999999999","2008","ANDHRA PRADESH","2","MEDAK"
"355","13.800000000000001","22.5","0","0","0.69999999999999996","110.40000000000001","19.100000000000001","5.9000000000000004","204.80000000000001","204.5","380.30000000000001","201.40000000000001","2004","ANDHRA PRADESH","2","NELLORE"
"355","23.199999999999999","78.200000000000003","199.80000000000001","18.199999999999999","3.3999999999999999","75.099999999999994","39.700000000000003","9.6999999999999993","63.700000000000003","362.89999999999998","604.79999999999995","71.799999999999997","2005","ANDHRA PRADESH","2","NELLORE"
"355","14.6","43.100000000000001","57.299999999999997","0","2.2000000000000002","27.399999999999999","67.299999999999997","30","27.399999999999999","290","217.59999999999999","85.799999999999997","2006","ANDHRA PRADESH","2","NELLORE"
"355","15.300000000000001","180.90000000000001","95.599999999999994","13","0","92.400000000000006","138.09999999999999","0","21.600000000000001","78","556.70000000000005","94.200000000000003","2007","ANDHRA PRADESH","2","NELLORE"
"355","0","123.40000000000001","9.1999999999999993","47","22.300000000000001","80.599999999999994","20.300000000000001","57.200000000000003","2.1000000000000001","422.19999999999999","262.60000000000002","55.399999999999999","2008","ANDHRA PRADESH","2","NELLORE"
"358","3.2000000000000002","105.7","0","0.90000000000000002","7.5","300.5","55.899999999999999","12.4","56.399999999999999","14.9","39.100000000000001","136.59999999999999","2004","ANDHRA PRADESH","2","NIZAMABAD"
"358","4.0999999999999996","182.40000000000001","0.59999999999999998","5.7999999999999998","69","423.80000000000001","94","32","0.10000000000000001","0","101.7","284.30000000000001","2005","ANDHRA PRADESH","2","NIZAMABAD"
"358","28.899999999999999","361.10000000000002","0","0","0","200.19999999999999","124.8","51.700000000000003","45.299999999999997","13.699999999999999","46","194.90000000000001","2006","ANDHRA PRADESH","2","NIZAMABAD"
"358","5.9000000000000004","221.69999999999999","0","0","0","199.59999999999999","161.59999999999999","0.29999999999999999","2","17","20.199999999999999","289.30000000000001","2007","ANDHRA PRADESH","2","NIZAMABAD"
"358","19","343.60000000000002","0","12.1","0","212.80000000000001","122","67.900000000000006","2","1.6000000000000001","11.6","166.69999999999999","2008","ANDHRA PRADESH","2","NIZAMABAD"
"385","51","33.299999999999997","0","0","15.199999999999999","87.700000000000003","16.100000000000001","3.5","140.69999999999999","54.5","164.59999999999999","191.19999999999999","2004","ANDHRA PRADESH","2","PRAKASAM"
"385","5.2000000000000002","60.399999999999999","4.4000000000000004","5.7999999999999998","0","108.90000000000001","24.399999999999999","1.1000000000000001","44.899999999999999","70","504.60000000000002","129.09999999999999","2005","ANDHRA PRADESH","2","PRAKASAM"
"385","66.400000000000006","42.700000000000003","11.9","0","0","24.699999999999999","80.900000000000006","65.700000000000003","46.600000000000001","148.80000000000001","232.09999999999999","149.19999999999999","2006","ANDHRA PRADESH","2","PRAKASAM"
"385","18.399999999999999","141","0.90000000000000002","4.5999999999999996","0","76.799999999999997","285.19999999999999","0","54","34.799999999999997","161","123.09999999999999","2007","ANDHRA PRADESH","2","PRAKASAM"
